Date,Time,Sea_Table,Table_Position,Treatment,Bucket_ID,Cuke_ID,Activity_Score,Droop_score,Squeeze_score,Number_lesions,Bodywall lesions
9-11-2021,9:40,4.00,U,Control,1,A,0,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,1,B,5,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,2,A,12,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,2,B,9,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,3,A,0,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,3,B,1,1,2,NA,NA
9-11-2021,9:40,4.00,U,Control,4,A,2,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,4,B,9,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,5,A,6,2,2,NA,NA
9-11-2021,9:40,4.00,U,Control,5,B,9,2,2,NA,NA
9-11-2021,9:40,5.00,U,Heat,6,A,0,2,2,NA,NA
9-11-2021,9:40,5.00,U,Heat,6,B,5,1,1,NA,NA
9-11-2021,9:40,5.00,U,Heat,7,A,7,2,2,NA,NA
9-11-2021,9:40,5.00,U,Heat,7,B,0,2,2,NA,NA
9-11-2021,9:40,5.00,U,Heat,8,A,6,1,2,NA,NA
9-11-2021,9:40,5.00,U,Heat,8,B,10,2,2,NA,NA
9-11-2021,9:40,6.00,D,Room,9,A,0,2,2,NA,NA
9-11-2021,9:40,6.00,D,Room,9,B,0,2,2,NA,NA
9-11-2021,9:40,5.00,U,Heat,10,A,3,2,2,NA,NA
9-11-2021,9:40,5.00,U,Heat,10,B,11,2,1,NA,NA
9-11-2021,9:40,6.00,U,Heat,11,A,1,1,2,NA,NA
9-11-2021,9:40,6.00,U,Heat,11,B,9,2,1,NA,NA
9-11-2021,9:40,6.00,U,Heat,12,A,7,2,2,NA,NA
9-11-2021,9:40,6.00,U,Heat,12,B,11,2,2,NA,NA
9-11-2021,9:40,6.00,D,Room,13,A,5,2,2,NA,NA
9-11-2021,9:40,6.00,D,Room,13,B,1,1,1,NA,NA
9-11-2021,9:40,6.00,U,Heat,14,A,1,2,2,NA,NA
9-11-2021,9:40,6.00,U,Heat,14,B,0,2,1,NA,NA
9-11-2021,9:40,6.00,U,Heat,15,A,4,2,2,NA,NA
9-11-2021,9:40,6.00,U,Heat,15,B,10,2,2,NA,NA
9-11-2021,9:40,4.00,D,Room,16,A,5,2,2,NA,NA
9-11-2021,9:40,4.00,D,Room,16,B,1,1,0,NA,NA
9-11-2021,9:40,4.00,D,Room,17,A,1,2,2,NA,NA
9-11-2021,9:40,4.00,D,Room,17,B,1,2,2,NA,NA
9-11-2021,9:40,4.00,D,Room,18,A,4,2,2,NA,NA
9-11-2021,9:40,4.00,D,Room,18,B,0,2,2,NA,NA
9-11-2021,9:40,4.00,D,Room,19,A,0,2,2,NA,NA
9-11-2021,9:40,4.00,D,Room,19,B,7,1,2,NA,NA
9-11-2021,9:40,4.00,D,Room,20,A,5,2,2,NA,NA
