
﻿Date,Time,Sea_Table,table_position,Bucket_ID,Cuke_ID,Treatment,Temp_C,Ammonia,Nitrite,Water_change,Alive,Time of Death,Spawn,Wasting,Evisceration,Poop,respiratory_evisceration,deflation,skin_ulcers,Notes
17-10-2021,,seawater,D,,,,11.5,NA,NA,,,,,,,,,,,daily monitoring
20-10-2021,,seawater,D,,,,12,NA,NA,,,,,,,,,,,daily monitoring
21-10-2021,,seawater,D,,,,11,NA,NA,,,,,,,,,,,daily monitoring
24-10-2021,,seawater,D,,,,10.8,NA,NA,,,,,,,,,,,daily monitoring
25-10-2021,,seawater,D,,,,11,NA,NA,,,,,,,,,,,daily monitoring
28-10-2021,,seawater,D,,,,11,NA,NA,,,,,,,,,,,daily monitoring
30-10-2021,,seawater,D,,,,10.9,NA,NA,,,,,,,,,,,daily monitoring
1/11/2021,,seawater,D,,,,10.9,NA,NA,,,,,,,,,,,daily monitoring
2/11/2021,12:15,6,U,1,,,23.2,0.25,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,6,U,2,,,23,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,6,U,3,,,23,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,6,U,4,,,22.1,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,6,U,5,,,22.3,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,5,U,1,,,17.5,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,5,U,2,,,17.3,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,5,U,3,,,17.3,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,5,U,4,,,17,NA,NA,,,,,,,,,,,Heat pilot
2/11/2021,12:15,5,U,5,,,17.1,NA,NA,,,,,,,,,,,Heat Trials
2/11/2021,12:15,seawater,D,,,,11.8,0.25,0,,,,,,,,,,,Very blue but not yet purple
2/11/2021,21:30,6,U,4,,,24,NA,NA,,,,,,,,,,,1 cucumber from 6D added at 21:30 
2/11/2021,21:30,4,U,3,,,20.8,NA,NA,,,,,,,,,,,2 cucumbers from 6D added at 21:30
2/11/2021,21:30,5,U,1,,,17.7,0.25,0,,,,,,,,,,,
3/11/2021,8:20,6,E,4,,,24,NA,NA,,,,,,,yes,,,,Dead Cucumber 
3/11/2021,8:20,4,U,3,,,21,0.5,0,,yes,,yes,,,Yes,,,,2 alive cucumbers
3/11/2021,8:20,seawater,,,,,12,NA,NA,,,,,,,,,,,
3/11/2021,10:02,4,U,4,,,20.6,NA,NA,yes,yes,,,,,,,,,Moved cucumbers from 4U3 to 4U4 because of spawning
3/11/2021,14:50,4,U,4,,,20.6,NA,NA,,yes,,,,,,,,,2 alive cucumbers
3/11/2021,20:30,4,U,4,,,20.5,NA,NA,,yes,,,,,,,,,2 alive cucumbers
4/11/2021,12:20,4,U,4,,,20.5,NA,NA,,yes,,,,,yes,,,,2 alive cucumbers
4/11/2021,12:30,seawater,,,,,12,NA,NA,,,,,,,,,,,
8/11/2021,15:00,4,U,,,,11.8,NA,NA,,,,,,,,,,,
8/11/2021,15:00,5,D,,,,11.8,NA,NA,,,,,,,,,,,
8/11/2021,15:00,6,U,,,,12.2,NA,NA,,,,,,,,,,,
EXPERIMENT BEGINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA
9/11/2021,8:40,4,U,1,A,control,12.6,NA,NA,,,,,,,,,,,
9/11/2021,8:40,4,U,1,B,control,12.6,NA,NA,,,,,,,,,,,
9/11/2021,8:40,4,U,2,A,control,12.2,NA,NA,,,,,,,yes,,,,
9/11/2021,8:40,4,U,2,B,control,12.2,NA,NA,,,,,,,,,,,
9/11/2021,8:40,4,U,3,A,control,11.6,NA,NA,,,,,,,yes,,,,
9/11/2021,8:40,4,U,3,B,control,11.6,NA,NA,,,,,,,,,,,
9/11/2021,8:40,4,U,4,A,control,11.8,NA,NA,,,,,,,,,,,
