## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2022-01-28T18:04:20.582Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 16 May 2016 - 10 May 2019, University of Victoria, Canada, Downloaded on 28 Jan 2022"  / Citation Title
#METADATF:  No Metadata File generated           / Metadata file name
#SEARCHID:  24845997                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-NortheastPacificOcean-BarkleyCanyon-BarkleyCanyonHead  / Station Name 
#STNCODE:   BACCH                                / Station Code 
#LATITUDE:     48.333200                         / Latitude North
#LONGITUDE:  -125.875583                         / Longitude East
#DEPTH:       380.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2016-05-16T01:52:14.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird Microcat SBE37SMP-ODO 9535"  / Device Name of Device 1
#DEVCODE1:  SBECTD37SMPODO9535                   / Device Code of Device 1
#DEVID1:    23040                                / Device ID of Device 1
#
#DEPLDATE2: 2017-06-15T04:21:50.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird Microcat SBE37SMP-ODO 9535"  / Device Name of Device 2
#DEVCODE2:  SBECTD37SMPODO9535                   / Device Code of Device 2
#DEVID2:    23040                                / Device ID of Device 2
#
#DEPLDATE3: 2018-08-03T19:42:07.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird Microcat SBE37SMP-ODO 9533"  / Device Name of Device 3
#DEVCODE3:  SBECTD37SMPODO9533                   / Device Code of Device 3
#DEVID3:    23038                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2016-05-16T00:00:00.000Z             / Data Start Time
#DATETO:    2019-05-10T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2016-05-10T20:39:11.000Z             / Sample Period 1 Start Time
#PERIOD1:   600                                  / Sensor Sample Period 1 (s)
#PERIODST2: 2017-06-15T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1200                                 / Sensor Sample Period 2 (s)
#PERIODST3: 2018-07-13T00:00:00.000Z             / Sample Period 3 Start Time
#PERIOD3:   1800                                 / Sensor Sample Period 3 (s)
#RESAMPPRD: 86400                                / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 977                                  / Samples in File
#TOTSMPEXP: 1089                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag" , "Temperature Count"  , "Corrected Heading (deg)", "Corrected Heading QC Flag" , "Corrected Heading Count"  , "True Heading (deg)", "True Heading QC Flag" , "True Heading Count"  
## END HEADER
2016-05-16T12:00:00.000Z, 5.211156154, 7, 130, NaN, 9, 0, NaN, 9, 0
2016-05-17T12:00:00.000Z, 5.304980556, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-18T12:00:00.000Z, 5.280313889, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-19T12:00:00.000Z, 5.258086806, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-20T12:00:00.000Z, 5.251484028, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-21T12:00:00.000Z, 5.190295139, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-22T12:00:00.000Z, 5.144173611, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-23T12:00:00.000Z, 5.153302083, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-24T12:00:00.000Z, 5.220766667, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-25T12:00:00.000Z, 5.232067361, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-26T12:00:00.000Z, 5.24763125, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-27T12:00:00.000Z, 5.290253472, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-28T12:00:00.000Z, 5.2710125, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-29T12:00:00.000Z, 5.231913889, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-30T12:00:00.000Z, 5.162239583, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-05-31T12:00:00.000Z, 5.122628472, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-01T12:00:00.000Z, 5.145336806, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-02T12:00:00.000Z, 5.127981944, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-03T12:00:00.000Z, 5.109730556, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-04T12:00:00.000Z, 5.118032639, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-05T12:00:00.000Z, 5.146688194, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-06T12:00:00.000Z, 5.204946853, 7, 143, NaN, 9, 0, NaN, 9, 0
2016-06-07T12:00:00.000Z, 5.241056944, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-08T12:00:00.000Z, 5.225112587, 7, 143, NaN, 9, 0, NaN, 9, 0
2016-06-09T12:00:00.000Z, 5.218255556, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-10T12:00:00.000Z, 5.199440278, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-11T12:00:00.000Z, 5.241436111, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-12T12:00:00.000Z, 5.295409028, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-13T12:00:00.000Z, 5.329763194, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-14T12:00:00.000Z, 5.32946875, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-15T12:00:00.000Z, 5.238827083, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-16T12:00:00.000Z, 5.266176389, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-17T12:00:00.000Z, 5.273675694, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-18T12:00:00.000Z, 5.287090278, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-19T12:00:00.000Z, 5.36424375, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-20T12:00:00.000Z, 5.350231944, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-21T12:00:00.000Z, 5.373599306, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-22T12:00:00.000Z, 5.335363889, 7, 144, NaN, 9, 0, NaN, 9, 0
2016-06-23T12:00:00.000Z, 5.321932394, 7, 142, NaN, 9, 0, NaN, 9, 0
2016-06-24T12:00:00.000Z, 5.311205556, 7, 144, NaN, 9, 0, NaN, 9, 0
